,2020-11-47,2021-06-23,2021-10-43,2021-11-47,2022-01-05,2021-04-16,2020-07-27,2021-07-30,2020-10-42,2020-06-27,2021-08-34,2021-12-50,2021-07-27,2020-11-49,2021-05-19,2021-01-03,2020-07-29,2021-08-33,2020-09-40,2020-08-36,2022-01-01,2021-02-07,2021-03-10,2020-12-53,2020-06-23,2020-11-46,2021-06-24,2020-09-37,2021-10-42,2021-11-44,2021-04-15,2020-09-39,2020-07-31,2020-10-43,2020-06-26,2020-08-32,2021-12-51,2021-07-26,2021-10-41,2020-11-48,2021-09-38,2021-01-02,2020-10-40,2020-06-25,2021-05-22,2021-08-32,2020-12-49,2022-01-02,2021-07-29,2021-09-35,2021-03-11,2020-12-52,2021-12-49,2020-11-45,2021-06-25,2020-09-36,2021-05-21,2021-08-31,2020-08-34,2021-11-45,2021-04-14,2020-09-38,2020-07-30,2021-09-36,2021-03-12,2020-12-51,2020-10-44,2020-08-33,2021-06-22,2021-02-08,2021-12-52,2021-10-40,2022-02-05,2022-01-04,2021-11-46,2021-04-17,2021-03-09,2021-09-39,2021-01-01,2020-05-22,2020-10-41,2020-06-24,2021-08-35,2022-01-03,2021-07-28,2021-02-05,2021-05-18,2021-01-04,2021-12-48,2021-11-48,2021-06-26,2020-07-28,2021-10-39,2021-05-20,2020-08-35,2021-04-13,2021-02-06,2021-09-37,2021-03-13,2020-12-50
Forfar - Central,,,,,,1.91333333333333,,,,,,,,,0.576666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.14,,,,,,,,,,,,,
Forres,,2.57,,141.94,,,,,,,36.17,166.255,52.875,,0.39,,,10.03,,,,,,,,,18.535,,151.545,,0.68,,,,,,,95.7,100.915,,,,,,,13.85,,127.62,,17.19,,,24.5,,1.68,,11.21,33.3566666666667,,,,,,,,,,,4.895,,,27.98,,,167.905,0,,,,,,,,62.58,,,0,,96.79,,118.82,,46.06,1.2,,,,9.35,,
Fort William,0,20.63,72.465,6.725,,0,,50.71,9.14,,139.6,,,,0.23,1.13,,,,,33.67,0,0.765,,,,6.68,0,21.44,47.84,0,31.44,,,,0.51,44.56,25.99,73.25,,39.48,416.18,109.71,,,63.115,1.93,123.19,46.45,,1.29,,36.42,1.41,21.74,0.61,9.17,60.83,0,47.48,0,,,535.77,1.065,,179.35,0,22.83,,,27.295,,28.06,52.595,0.16,8.075,71.82,0.2,,,,92.98,28.15,67.04,0.61,0.075,0,,13.14,12.67,,70.37,0,0.43,0,2.7,63.925,0,1.22
Fort William ,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraserburgh,,0.07,301.035,42.12,,7.25,,73.46,,,35.51,19.28,70.08,,0.09,,,26.89,,,,24.17,40.1833333333333,,,,1.5,,105.6,237.47,0.715,,,,,,,49.79,84.065,,57.05,,,,0.14,,,,54.77,114.84,9.61666666666667,,29.54,,5.855,,0.11,,,74.495,0.506666666666667,,,103.055,4.34333333333333,,,,0,20.585,338.3,26.71,53.02,14.88,33.65,1.46,22.1466666666667,48.28,,,,,310.74,95.48,81.87,19.6866666666667,0,38.975,60.25,,18.39,,,0,,0,9.125,56.87,6.235,
Galashiels,1.36,1.36,160.13,253.03,,,,11.4,2.69,0,249.25,36,18.7,,0,2.01,,145.64,,,41.87,1,0.59,,0,13.69,4.85,0,51.92,38.415,0.56,0.28,,1.81,,,20.56,,22.65,13.63,39.43,21.57,,,,30.92,0.64,25.075,14.22,107.77,0.64,,10.695,24.67,33.03,0,1.06,11.38,0,24.165,,0,,52.34,1.8,2.78,1.61,,0,0,157.03,16.98,30.98,,105.21,0.14,0.62,19.56,4.84,,5.18,,,24.535,,2.42,0,50.01,,,1.94,,,0.14,0,,,16.69,0.39,0
Galashiels ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Girvan,,3.16,72.71,51.14,,,,73.42,,,,83.16,NA,,NA,,,0,,,75.29,6.25,2.71,,,,6.23,,4.69,44.13,3.45,,,,,,69.28,,NA,,48.2,,,,,,,,84.86,,0.53,,172.51,,2,,0,,,37.14,4.74,,,646.78,0,,,,1.75,2.47,234.62,NA,,,102.62,2.53,0,106.91,,,,,,,,,0,,,,32.05,,,0,,,,260.76,1.48,
Grantown on Spey,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
Guardbridge,,1.315,89.655,69.43,27.05,,,16.17,,,60.12,87.28,,,0,,,,,,22.76,1.03,0.855,,,,3.51,,26.17,93.795,0,,,,,,,,,,238.545,,,,1.26,,,67.51,,164.8,0,,21.47,,1.99,,0,48.47,,47.235,0.9,,,184.2,0.655,,,,0.85,0.55,,86.72,49.57,,286.57,0,10.665,14.88,,,,,125.12,55.99,,0,0.105,1.22,,,7.17,,,0,,9.95,0,77.15,2.77,
Haddington,,,,372.98,,,,,,,,NA,,,,,,,,,58.005,,,,,,,,,74.9,,,,,,,,,,,,,,,,,,41.78,,,,,51.235,,,,,,,26.815,,,,,,,,,,,,,,,98.415,,,,,,,,,,,,,,87.97,,,,,,,,,,,
Hamilton,27.2033333333333,6.535,97.305,120.33,86.91,,,89.04,91.56,,167.55,132.45,59.07,15.1,8.625,18.17,,103.375,15.62,,120.54,23.36,11.7,30.68,,31.2033333333333,13.175,,60.005,65.2433333333333,6.36,5.49,,38.45,,,197.34,112.99,68.565,23.665,125.135,51.89,,,12.69,57.58,19.005,61.68,74.62,230.62,7.735,,52.71,137.38,11.5,1.63,6.055,55.42,0.4,48.3633333333333,6.62,3.91,,831.335,13.67,18.1,,,5.77,14.74,293.38,46.88,,49.7333333333333,66.125,14.41,5.15,148.755,18.79,,,,468.27,34.97,79.3,33.63,7.17,17.78,48.72,,18.14,,,4.82,0.46,15.28,12.54,237.13,10.16,40.06
Harthill,,0,247.4,NA,,,,634.09,,,,674.86,87.6,,0.52,0.51,,,,,56.04,33.3,10.1,,,,58.37,,159.6,82.23,0.73,,,,,,153.11,,,,,23.05,,,,,,,64.01,,1.54,,212.63,,7.8,,2.79,,,NA,NA,,,NA,7.31,,,,0,1.9,,177.73,,,261.08,0.92,14.47,,11.32,,,,NA,,132.12,3.49,0.33,,,,73.47,,22.45,0.16,,NA,60.53,,,
Hatton,7.33,32.7933333333333,84.6733333333333,78.2,73.88,2.43,,33.8,,,95.62,95.7375,226.176666666667,,3.89666666666667,31.9866666666667,,55.975,11.21,,114.675,5.88666666666667,6.28666666666667,28.64,0.6,15.25,18.3566666666667,0.57,59.4533333333333,33.52,5.915,5.45,,16.2,,,131.95,106.18,88.8433333333333,,83.9566666666667,43.6633333333333,,,20.25,26.4666666666667,16.18,122.76,42.5766666666667,218.155,7.95,,56.5375,40.97,73.94,1.04,9.015,19.4433333333333,4.97,56.0075,10.02,1.03,,148.32,8.06,,29.44,,14.495,5.49666666666667,197.83,104.16,80.47,70.6733333333333,75.3933333333333,,8.61666666666667,89.24,39.88,0.58,5.08,,215.23,57.9625,75.975,43.29,3.59333333333333,36.17,85.51,45.285,68.55,,138.87,5.33333333333333,6.05,11.14,11.5633333333333,126.18,8.47,12.47
Hatton - Fintry East,,6.555,466.67,NA,,0.51,,13.57,,,8.53,32.39,795.775,,0.67,,,71.16,,,323.42,,,,,,206.29,,208.595,20.245,,,,,,,,23570.76,,,,,,,,6.545,,NA,19.13,,,,42.45,,141.485,,1.125,13.61,,49.03,,,,803.06,,,,,1.825,,,NA,,28.72,27.68,0,,,,,,,NA,,60.43,,2.14,,,,406.3,,,0,,,,692.57,,
Hatton - Fintry North,,17.86,40.935,21.71,,7.765,,234.52,,,164.995,23.875,235.87,,0,,,13.095,,,107.25,,,,,,53.475,,118.7,49.28,,,,,,,,231.35,,,,,,,,57.25,,27.42,37.385,,,,43.31,,181.86,,25.65,97.46,,20.55,,,,792.79,,,,,12.51,,,16.43,,NA,75.82,0.89,,,,,,,160.41,,178.205,,0,,,,,,,0,,,,,,
Hatton - Fintry West,,338.84,64.835,NA,,4.1375,,26.2,,,61.92,769.88,127.47,,0.855,,,0.81,,,NA,,,,,,10.015,,104.715,4.875,,,,,,,,221.13,,,,,,,,6.015,,75.44,49.4,62.76,,,15.635,,63.155,,1.195,74.37,,16.02,,,,,,,,,12.325,,,135.53,,40.36,80.26,0,,,,,,,170.04,,498.495,,3.94,,,,,,,0,,,,,,
Hawick,4.3,,110.63,24.05,,,,33.59,0.37,0,51.76,,1089.3,,2.34,25.92,,35.48,3.7,,85.65,3.15,0.58,24.09,,3.99,0.83,1.81,0,55.41,0,4.07,,3.44,,,196.95,,41.29,19.33,11.59,106.47,,,,8.65,3.98,47.43,20.54,38.49,0.2,,41.49,0.55,33.71,2.19,0.16,14.13,0,151.97,0.36,0,,11.82,0.41,10.11,2.33,,,0,,15.49,12.54,31.78,86.44,NA,0.18,46.89,82.89,,3.88,0,,26.84,,3.52,0,27.79,54.67,,13.05,,,0.95,4.12,,0.23,17.71,0.78,19.89
Helensburgh,16.3,5.69,82.88,67.17,128.12,,,36.98,67.93,,6.56,80.97,14.08,,3.27,70.67,,5.78,,,221.49,142.35,22.79,11.68,,4.77,0,,69.98,110.935,44.62,4.28,,58.09,,,286.6,,,16.27,347.84,24.63,0,,,15.41,22.84,,67.88,,40.49,,177.09,142.74,11.74,0,5,25.2,0,156.485,82.43,,,1639.82,47.79,,10.02,,12.08,93.07,174.46,235.41,110.77,,140.09,1.98,73.94,349.74,53.08,,3.12,0,0,82.42,0,22.54,5.45,49.31,,,5.43,,,1.13,0,,340.31,122.05,44.94,
Huntly,,0,178.335,144.585,,,,10.47,,,181.33,163.22,2.645,,,,,7.98,,,21.15,,,,,,0.605,,137.11,46.535,,,,,,,,12.39,,,,,,,,9.685,,,18.85,156.45,,,15.345,,8.23,,,66.465,,35.725,,,,21.225,,,,,0.26,,597.15,142.505,,16.19,72.61,,,207,,,,,,,6.92,,,,,8.35,11.15,,,,,,,,,
Inverclyde,,7.045,41.58,39.05,40.69,1.64,,46.205,,,54.37,94.32,47.6,,10.645,44.31,,41.26,,,113.62,6.9,1.55,92.27,,,6.265,,46.825,45.51,1.74,,,,,,,51.97,35.99,,35.485,42.61,,,7.13,21.66,,67.44,18.68,88.61,6.51,28.68,65.58,,17.925,,3.47,,,19.13,4.78,,,194.91,2.845,18.61,,,7.31,9.835,229.35,23.6333333333333,25.93,21.9466666666667,59.615,7.855,8.58,96.13,117.89,,,,70.94,23.2033333333333,25.625,15.51,0.825,14.26,54.175,69.79,26.77,,,3.80666666666667,,2.91,11.1,79.925,0.88,
Inverclyde - Gourock,,325.115,24.395,56.58,,201.35,,51.405,,,129.105,24.73,79.1,,190.53,,,67.71,,,137.34,,,,,,53.64,,28.12,32.33,83.36,,,,,,,239.39,,,,,,,,28.72,,83.07,14.68,99.84,,,33.45,,96.515,,,90.74,,68.35,24.3725,,,84.94,,,,,85.61,,,106.48,,,24.11,25.085,,,,,,,66.26,,40.58,,7.34,,,,148.82,,,,,,,79.55,,
Inverurie,,0.44,227.055,157.745,,,,36.35,,,,76.62,115.785,,15.49,,,,,,101.52,,,,,,4.87,,232.145,87.995,3.94,,,,,,,,,,,,,,,20.6,,82,43.88,225.43,,,18.98,,4.81,,2.68,,,45.96,,,,322.18,,,,,4.52,,,237.12,,NA,120.14,0.075,,,,,,,,23.27,NA,,4.18,,,76.06,11.14,,,2.14,,,,93.86,,
Invurie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Ironmill Bay,,2.09,86.01,43.13,,,,53.81,,,,49.63,14.795,,16.4,,,,,,112.285,,12.605,,,,21.035,,16.02,85.845,2.27,,,,,,,228.16,,,,,,,,,,,47.15,41.65,8.145,,77.685,,29.59,,5.32,5.01,,82.31,1.42,,,87.515,5.255,,,,15.35,4.74,,,,,68.005,0.79,12.44,,,,,,,,37.385,8.04,0.305,18.3,,45.85,52.41,,64.74,0.565,,,1.08,34.41,52.025,
Jedburgh,,,,7.255,,,,,,,,,,,,,,,,,18.06,,,,,,,,,195.865,,,,,,,,,,,,,,,,,,72.195,,,,,35.72,,,,,,,56.38,,,,,,,,,,,,,11.33,13.35,15.72,,,,,,,,,7.1,,,,,,,,,,,,,,,,
Kelso,,0.77,65.66,24.21,,,,9.64,,,,152.95,23.51,,1.845,,,0,,,49.77,,,,,,0.08,,5.675,30.385,0.085,,,,,,,37.44,,,18.08,,,,,,,75.495,7.13,40.76,,,34.575,,6.455,,0,,,10.575,0,,,52.86,0.095,,,,0,,,5.93,32.485,42.78,55.66,0,,3.41,,,,,8.1,51.195,,,0.39,,,,8.9,,,1.44,,0,,25.03,0,
Kincardine,,NA,,,,,,,,,,,28.93,,0,,,,,,,49.76,15.69,,,,NA,,,,9.215,,,,,,,3.43,,,,,,,,,,,,,94.24,,,,NA,,5.235,,,,6.68,,,,2.64,,,,10.34,31.805,,,,,,0.25,7.735,,,,,,,,,338.13,0.51,33.69,,,3.15,,,0.525,,,198.29,,2.045,
Kinneil,,,,144.465,96.11,,,,,,,225.636666666667,,,,,,,,,59.11,,,,,,,,,101.013333333333,,,,,,,,,,,,,,,,,,,,,,,91.6266666666667,,,,,,,105.943333333333,,,,,,,,,,,,,,76.42,151.01,,,,,,,,,123.8,,,,,NA,,,,,,,,,,,
Kirkcaldy,,30.88,112.295,107.965,NA,,,89.145,,,,131.793333333333,158.43,,16.525,,,,,,164.585,15.725,4.535,,,,33.39,,67.11,70.4166666666667,6.26,,,,,,132.08,111.93,119.265,,117.86,,,,,91.92,,117.39,84.74,297.96,26.3,,98.035,,83.37,,10.06,30.7,,113.573333333333,11.455,,,517.605,15.045,,,,22.335,28.675,,112.95,41.73,63.3233333333333,156.406666666667,4.805,11.6,192.92,,,,,88.65,117.87,70.715,9.81,13.525,51.83,,,109.21,,79.52,10.76,,23.63,7.37,138.25,,
Kirkwall,0,2.675,23.27,32.705,41.42,0,,11.5,0,,11.46,3.81,5.975,0,0.45,1.63,,35.925,0,,87.99,0.11,0,,,0,1.97,0,19.75,18.71,0.223333333333333,0.27,,0,,,,4.1,10.69,0,16.88,0.886666666666667,,0,0,3.42,0,16.08,5.94,18.56,0,,7.765,0,15.505,0,0.13,9.15,30.66,41.445,0,0,,36.46,0,0,0.91,3.16,0,0.793333333333333,,16.79,,,138.43,0,0.21,12.74,0.486666666666667,,,0,,12.15,29.67,0,0,1.835,18.5,,6.29,,,0,1.98,,0,,0.163333333333333,0.366666666666667
Lanark,,3.51,,,24.9,,,62.99,,,,NA,6.61,,NA,15.46,,80.94,,,36.26,29,48.32,,,,24.02,,NA,14,,,,,,,,,,,NA,65.27,,,,,,188.97,12.69,,2.06,,NA,,28.51,,1.78,,,35.52,14.08,,,433.49,3.88,,,,22.65,135.96,109.75,13.09,,,46.09,0.35,42.96,,50.41,,,,136.87,69.04,24.1,22.99,0,NA,NA,,15.63,,,0.75,,7.14,59.6,NA,,
Langholm,,0,146.11,31.665,,,,62.775,,,13.385,11.61,33.775,,,,,NA,,,44.59,,,,,,0,,46.425,69.78,,,,,,,,127.17,,,270.48,,,,,12.775,,,NA,NA,,,6.76,,1.89,,0,18.61,,12.88,,,,940,,,,,0,,,18.55,,20.01,5.53,0,,,,,,,,113.17,22.37,,0,,,,66.71,,,0,,,,279.85,,
Largs,,0,29.03,45.665,,,,10.92,,,,55.6,7.51,,0.75,,,,,,69.93,20.94,11.69,,,,7.725,,11.325,14.885,15.6,,,,,,,,,,48.68,,,,,,,95.61,11.845,22.84,1.2,,46.02,,17.105,,0,,,44.285,20.7,,,60.335,NA,,,,0.32,4.93,,14.485,0,NA,18.75,1.19,22.99,,,,,,,,14.52,,0.885,,63.87,71.1,29.935,,,0,,,14.925,75.74,1.35,
Lerwick,0.66,0.3,0,52.51,NA,0,,8.58,1.78,,1.72,5.575,1.34,,1.23,3.265,,0,0,,NA,NA,0,,,0,0.975,0,0.66,NA,0,0,,,,,,,1.385,0,5.875,5.505,,,1.19,1.105,0,NA,11.325,,0,,NA,0,NA,0,NA,0.91,0,1.05,0,,,7.55,0,0,17.26,,0.11,0,3.41,0,NA,,11.01,0,0,4.13,0.22,,0,0,1.62,NA,4.42,0,NA,1.57,NA,NA,1.4,,,0,0,,0,13.1,0,0
Lesmahagow,,0,,,,,,33.09,,,,43.54,58.32,,0.83,,,9.28,,,97.13,499.44,34.01,,,,4.52,,NA,83.98,,,,,,,,,,,,37.24,,,,,,,29.88,,2.84,,0,,0,,1,,,36.66,0,,,52.6,NA,,,,0,677.86,125.25,3.47,,,104.9,3.49,42.19,,,,,,305.14,,134.71,127.35,0.29,,,73.52,3.05,,,0,,0,22.48,97.72,2.79,
Levenmouth,24.3466666666667,3.15,,59.055,57.96,,,,21.86,0,,111.983333333333,51.09,54.2,2.02,15.294,,,6.865,0,107.085,6.56,5.64,72.91,0,17.26,4.345,0.326666666666667,,37.4075,2.2,2.562,,27.405,,0,222.08,82.71,48.39,34.085,,37.0033333333333,3.59,0,,,27.9166666666667,99.2533333333333,57.15,,7.69,,78.9966666666667,25.83,12.02,0,1.715,,0.21,51.815,7.57,0.645,,,9.68,21.2366666666667,32.7325,0,4.59,12.06,NA,,10.92,19.3566666666667,79.76,2.05,6.3,,27.0525,0,2.77333333333333,0,,41.175,41.915,25.78,3.745,52.46,30.09,NA,34.58,,,3.875,0.705,6.35,15.14,,,15.3475
Linlithgow,,12.35,23.86,135.475,,,,32.1,,,,105.065,51.31,,0.8,21.04,,13.65,,,118.48,2.42,6.07,,,,2.87,,154.26,122.515,1.02,,,,,,455.86,27.46,,,178.83,17.45,,,0.19,52.91,,49.95,31.49,73.76,2.085,6.47,168.085,,11.395,,0.37,,,,0.865,,,207.71,2.57,15.84,,,0.91,4.625,,63.8,59.65,,73.97,0.24,0.38,,44.02,,,,96.14,32.08,102.68,5.255,0.13,7.51,,211.6,20.69,,147.65,13.48,,1.85,6.75,230.805,8.53,
Loch Ryan,,0.5,16.99,96.74,,,,21.26,,,64.58,21.82,37.625,,,,,16.35,,,,,,,,,0.92,,,16.76,,,,,,,,,,,23.44,,,,,16.06,,24.35,28.16,236.52,,,8.78,,2.575,,,11.39,,NA,,,,148.065,,,,,0,,,29.71,,29.07,15.795,0.69,,,,,,,100.68,43.7,4.27,,,,,,,,,,,,,72.345,,
Lockerbie,1.905,0.21,111.64,25.205,,,,,2.6,,84.42,42.43,39.075,,0,4.4,,67.865,0.21,,NA,0,1.54,,,122.35,0.165,4.48,27.375,7.43,0.09,0.15,,1.43,,,171.61,11.04,44.7933333333333,34.605,31.525,7.37,0.405,,,25.95,0.215,89.455,11.33,62.295,0.485,,10.71,7.08,0,0,0,20.76,0,43.225,0,0.0725,,152.67,0,4.14,3.79,,0,0,,2.06,,48.26,83.31,0,0,58.055,9.895,,0,,,25.565,2.52,1.935,0,30.14,NA,,,,,0,0,,1.955,95.035,0,1.09
Lossiemouth,,0,NA,NA,,3.00333333333333,,27.21,,,22.46,NA,18.9,,4.44,,,24.64,,,64.8666666666667,1.42,1.53,,,,0.8,,NA,27.61,3.46666666666667,,,,,,,,50.13,,27.46,,,,0,12.4066666666667,,NA,21.61,85.705,0.395,,NA,,1.195,,1.24666666666667,14.4366666666667,,NA,3.42666666666667,,,34.75,2.18,,,,0.88,5.06,,31.83,NA,NA,NA,3.25333333333333,1.70333333333333,,,,,,89.82,9.28,20.895,NA,10.31,,,NA,2.45,,,2.02666666666667,,1.56,3.345,54.5,4.36,
Mauldslie,,4.82,,,,,,55.61,,,199.32,53.63,42.1,,6.64,75.53,,,,,28.4,55.56,8.6,,,,48.96,,88.76,75.37,,,,,,,494.45,,,,,239.13,,,,,,,91.11,,5.95,,,,31.67,,5.8,,,122.72,9.5,,,,10.76,,,,1.09,10.91,,68.95,,,59.37,4.1,16.96,,26.17,,,,447.1,,,77.95,2.43,10.71,,,9.97,,,10.34,,9.42,10.25,,,
Maybole,,3.46,,181.57,,,,,,,,,35.11,,0.63,13.74,,,,,188.23,0.7,0,,,,18.32,,,,0.25,,,,,,245.69,,,,78.18,10.08,,,,,,,6.97,,21.17,,129.51,,2.94,,0,,,216.17,0,,,233.36,0,,,,0,0,,2.68,,,,0,0.32,,NA,,,,249.49,,29.39,1.8,0,,,,53.96,,,0.26,,,30.83,354.14,1.14,
Meadowhead,,29.28,72.5,62.035,39.19,3.38,,30.2,20.76,,125.466666666667,77.2875,27.31,59.11,3.835,34.8033333333333,,81.3866666666667,,,62.34,32.25,15.4566666666667,127.92,,51.3,12.3666666666667,0,39.1433333333333,47.1125,4.19,3.78,,36.81,,0,110.63,,60.8733333333333,23.65,84.21,59.79,21.5,,11.96,34.8466666666667,3.38,51.73,36.0166666666667,223.09,9.69,,61.8825,18.905,41.5766666666667,1.55,8.79666666666667,28.5233333333333,0,58.5775,9.07333333333333,0.54,,143.95,11.32,35,5.88,0,15.06,13.08,201,61.9,29.42,21.68,48.9525,4.42,12.0333333333333,175.625,64.3166666666667,,26.09,,361.9,36.575,26.86,41.0366666666667,2.805,28.79,79.52,59.85,21.73,,70.49,11.2466666666667,,7.59,69.96,213.045,11.105,
Meadowhead - Kilmarnock HMP,,0.995,367.47,81.68,,,,16.88,,,6.66,2.6,20.73,,2.66,,,1.065,,,0,,,,,,2.61,,8.69,25.315,,,,,,,,5.38,23.86,,NA,,,,0.65,5.335,,4.81,28.405,24.91,,,25.22,,0.28,,1.485,,,68.175,,,,103.52,,,,,2.81,,,NA,,NA,5.16,,,NA,,,,,47.43,0.79,42.89,,,,,8.27,162.38,,2445.44,4.096,,,,,,
Montrose,,,,173.85,NA,,,,,,,16.3,,,,,,,,,34.315,,,,,,,,,93.81,,,,,,,86,,,,,,,,,,,38.54,,,,,30.925,,,,,,,50.14,,,,,,,,,,,,,,17.65,185.81,,,,,,,,,26.23,,,,,65.91,109.61,,,,,,,,,,
Muirkirk,,,,,,,,,,,,,,,,,,,,,,3.395,2.955,,,,,,,,82.2,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,12.56,,,,8.705,,,,,4.85,,,,,,0.265,6.805,,,,,,,,,,0.6,,,,,,,,,,36.31,,0,
Nairn,0,4.81,47.31,,,,,,,,98.09,15.3,84.07,,0.36,2.31,,,9.42,,,2.62,NA,,0,0.15,0.6,0,21.75,NA,0,0,,2.79,,,,24.77,95.32,0.93,,14.32,,,,7.8,0,14.01,4.96,31.44,2.29,,NA,1.23,24.81,0,NA,23.625,0,40.32,2.82,0,,24.68,0.46,0,3.7,,0,1.27,,10.07,,,16.82,0,0.2,7.98,7.32,,4.19,,,,28.61,0.84,0,NA,57.32,,,,,0.19,0,0.38,52.54,47.71,,0
Neilston,,3.52,61.73,46.18,34.97,,,42.69,,,,,141.46,,0,,,,,,168.465,2.41,27.455,,,,4.63,,65.14,76.905,0.985,,,,,,,,,,,,,,,,,54.09,59.84,164.03,2.38,,NA,,8.395,,1.485,,,21.085,0.475,,,104.22,1.355,,,,2.48,2.62,,12.01,,11.76,67.4,0.29,2.47,86.67,,,,,467.67,6.37,49.03,,0.275,,,,8.95,,,2.475,,,,100.49,0,
Newbridge,,,,90.73,,,,,,,,128.48,,,,,,,,,71.04,,,,,,,,,63.1,,,,,,,NA,,,,,,,,,,,89.66,,,,,69.13,,,,,,,64.1333333333333,,,,,,,,,,,,,87.61,,42.335,,,,,,,,,,,,,,,41.15,,,,,,,,,,
Newburgh,,0.24,213.19,78.26,,,,,,,52.22,85.42,21.15,,0.14,,,12.47,,,241.72,5.33,9.385,,,,1.26,,59.065,44.3,0,,,,,,,,,,39.55,,,,2.02,,,30.67,,90.13,0.76,,117.43,,21.87,,0,,,24.06,0.07,,,84.805,0.77,,,,2.03,39.29,,80.97,227.01,140.23,633.485,0.13,7.135,220.83,,,,,147.28,104.73,59.42,0.84,0.13,2.63,34.49,,30.69,,,0,,4.02,0,101.68,8.83,
New Cumnock,,16.66,13.94,,,,,47.47,,,,33.66,169.55,,20.7,33.26,,,,,564.99,18.99,4.54,,,,20.63,,53.49,116.99,,,,,,,,,,,,12.15,,,,,,,75.01,,9.9,,112.29,,8.21,,5.18,,,,0,,,323.69,4.58,,,,1.54,78.51,,,,,82.12,,19.43,NA,106.73,,,,80.28,27.29,114.45,1539.12,4.54,,,,129.97,,,56.92,,,17.86,286.99,0,
Newport & Tayport,,18.34,168.245,98.35,,,,18.1,,,,125.77,102.38,,0.125,,,19.31,,,93.81,1.425,17.725,,,,15.56,,25.3,54.69,0,,,,,,,,,,63.955,,,,9.73,,,,13.03,330.93,1.16,,7.25,,46.755,,0,15.91,,5.815,0,,,1061.21,4.28,,,,5.55,9.405,,120.9,24.33,,35.4,0,3.39,163.44,,,,,240.63,,27.32,1.46,0,0.94,245.05,,51.095,,,1.16,,,0.91,100.83,0.15,
Newtown St Boswell,,0.585,47.87,131.505,,,,55.985,,,46.5,4.14,27.825,,0.135,,,9.79,,,109.04,0,7.345,,,,1.415,,94.825,62.38,0,,,,,,,,,,,,,,,0,,89.21,229.45,,0,,17.74,,0.215,,1.115,2.44,,NA,0,,,16.48,0,,,,6.215,7.925,,43.62,,,307.06,0,2.695,235.19,,,,,30.44,4.92,22,,0,,,,3.545,,NA,2.17,,0,1.29,36.915,0,
Nigg,6.47,9.105,45.4,110.946666666667,80.42,1.22,,32.915,4.97,0,87.985,82.895,127.28,6.93,2.25,39.22,,39.81,2.79333333333333,0.9,145.335,7.17,5.31333333333333,87.71,0,,9.965,0.1775,40.27,46.14,6.3,1.18,0,2.79,,0.33,143.82,87.08,54.665,13.15,44.82,42.95,5,,5.86,20.07,,107.185,43.62,99.45,6.86333333333333,,43.2066666666667,5.975,46.075,0.4,3.05,27.475,3.5575,66.77,4.29333333333333,0.83,,322.02,5.87666666666667,17.46,7.21,5.6425,4.42,4.29333333333333,312.07,40.34,96.44,52.6775,112.51,1.14,2.89,83.155,70.52,0,3.88,0,189.76,49.3925,26.94,11.8466666666667,1.68,18.35,48.53,89.395,,,,0.615,1.125,4.015,9.10666666666667,13.77,0.81,14.45
Nigg - Aberdeen RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigg - Torry,,,,,,1.855,,,,,,,,,0,,,,,,,,,,,,,,,,10.605,,,,,,,,,,,,,,,,,,,,16.6125,,,,,,0,,,,5.085,,,,0.875,,,,,,,,,,,0,,,,,,,,,,,0.4,,,,,,,0,,0.79,,,NA,
Oban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.14,,,,,32.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.735,,,,,,,,,,,,,,,,
Paisley,,11.39,42.69,46.1133333333333,85.32,,,53.995,,,,134.1925,97.74,,2.605,,,137.04,,,102.855,42.925,80.59,,,,16.06,,33.345,29.4925,5.28,,,,,,202.91,,69.055,,95.92,,,,26.61,6.29,,56.43,100.42,369.12,19.045,,49.5975,,16.795,,9.905,46.67,,56.7975,2.1,,,247.51,19.63,,,,11.01,26.29,292.44,46.87,52.15,49.08,106.683333333333,2.545,22.625,60.64,,,,,450.47,33.3025,93.99,,5.21,,55.73,55.82,39.67,,,1.02,,,,142.525,5.455,
