,2022-02,2021-14,2021-26,2021-01,2020-45,2021-36,2022-05,2021-13,2020-50,2020-29,2021-38,2020-33,2021-50,2021-25,2021-04,2021-45,2021-33,2020-38,2021-10,2022-06,2020-53,2021-22,2021-28,2020-41,2021-07,2021-40,2020-25,2020-37,2022-03,2021-15,2021-21,2020-48,2020-46,2021-37,2021-43,2020-26,2021-39,2020-32,2021-09,2021-51,2021-24,2021-03,2021-44,2021-30,2021-11,2020-52,2020-31,2020-42,2021-06,2021-47,2021-18,2020-22,2020-36,2021-49,2021-16,2021-20,2020-49,2020-47,2021-34,2021-42,2020-27,2020-35,2021-08,2021-27,2021-52,2021-02,2020-44,2021-31,2022-04,2021-12,2020-51,2020-28,2020-30,2020-43,2021-05,2021-46,2021-19,2020-23,2021-32,2020-39,2022-01,2021-48,2021-17,2021-23,2021-29,2020-40,2021-35,2021-41,2020-24,2020-34
Hatton,223441.75,18437,216362.5,74751.3333333333,58928,343036,211832.5,20393.3333333333,22938,,176818.333333333,,180057.75,156071.333333333,66560,112744,116583,3366,10128.3333333333,221581.333333333,51249,30918.6666666667,185456,9348,8218.66666666667,167922.666666667,,1351,117564.5,10884,12309.5,,20969,337814.5,165917.333333333,,181064,,15140,274004,43429.6666666667,50457.3333333333,46650.5,72292.6666666667,15270.6666666667,,,,16027.3333333333,184709.333333333,5671,1752,1870,89774.25,4470,8759.33333333333,29775,13486,188996.333333333,94015,,8360,8743.66666666667,484636.333333333,368882,78130.3333333333,41811,44053.3333333333,137240.666666667,17749,,,,22225,58695,146818,7536.66666666667,1175,43375,11912,170324,130468.333333333,,68302,91669.3333333333,20627,523766,170536.333333333,,10714
Hatton - Fintry East,NA,,22523108.5,,,1395889,,,,,,,51441,231782,,78497,149503,,,NA,,2449.5,135510,,,NA,,,,,1136.5,,,1424406,401033,,,,,,341282,,28052,20087,,,,,,NA,3196,,,51338,858,0,,,13075,363099.5,,,,1190290,,,,26020,42516,,,,,,,45196,916,,9682,,478716,,0,9481,36283.5,,NA,,,
Hatton - Fintry North,42736,,544050,,,1631776,128464,,,,,,43627,364435,,32988,26576.5,,,,,22880.5,460736.5,,,33878,,,,,31354.5,,,,45658,,,,,,105639.5,,66616.5,400315,,,,,,38342,0,,,58456,15846,0,,,322374.5,178470.5,,,,496778,,,,204857,NA,,,,,,,136639,0,,98556,,183065,,989,35251.5,87141,,322518,,,
Hatton - Fintry West,107744.5,,502918,,,,346153,,,,,,1138524.5,119202.5,,26241,1385,,,325412,,18241.5,1203845.5,,,205112,,,,,1141.5,,,,80161,,,,,,16749,,7347,41649,,,,,,NA,5786.5,,,22277,8517.25,0,,,89672,131371,,,,245469,,,,162730,64166,,,,,,,131223,1418.5,,9562,,NA,,0,638259,129318,,220665.5,,,
Hawick,120606,877,36586,185436,1068,28458,27407,2124,46942,,22251,,,90782,63795,301695,28097,0,1296,149677,51798,,,7474,6871,6454,,5498,74067,0,398,30986,11284,37390,36091,,131256,,354,563428,2845,55307,72898,91694,446,,,754,690,66385,0,,6326,68833,,2573,10720,12892,155165,0,0,3893,0,961455,,196615,5541,30827,93351,1041,14559,,,8703,5439,213626,4787,,11563,12933,143258,98648,NA,,55408,11577,123645,110832.5,0,0
Helensburgh,,49627,3253,30581,91754,977285,66648.5,27059,,,207269,,48959,7004,15342,94414.5,3482,,13762,122199.5,3872,7290,0,1987.5,85921,141026,,,49619,26832,3009,7772,2374,73612,50074,,209144,,44852,172661,0,36142,67104.5,22123,24424,,,60947,230990,40481,3263,,0,106599,,678,12884,6237,3923,42304,,0,56401,8427,105312,7822,3763,15142,,28812,,,,36441,8180,84826,1966,,9231,2403,133670,,1176,3424,40713,0,0,,0,0
Huntly,,,18040,,,35337.5,22097,,,,,,180475,14136.5,,42559.5,12060.5,,,,,301,10079,,,234860,,,,,,,,,220093.5,,269050,,,,836,,41389,13049.5,,,,,,175064,,,,11625.5,,,,,292395.5,186798,,,,3812,791460,,,98062,26139,,,,,,,91790,,,12462.5,,28140,6948,,0,28940,,253592,,,
Inverclyde,94129.5,7188.5,93789,233525,,384751,54320,3719,,,77358,,130700.333333333,36714.5,21154,34723,92972.5,,2514.5,45366.5,97610,14763.3333333333,58184.5,,8979,28963.6666666667,,,44154.3333333333,3618.5,5142,,,179222.5,53780.5,,142612,,16407,,6175,68325,62141.25,82074,10574,31766,,,17942,68238,1860.5,,,68415.5,3519,6540.66666666667,,,106049,43118.5,,,13268,100606.333333333,313095,46543,,,45206.3333333333,5058,18141,,,,15852,75780.25,14852,,27378,,112022,92805.3333333333,7651,12814.5,48628,,227204.5,61090.5,,
Inverclyde - Gourock,56903,35099.5,292274,,,117133,,,,,,,25111.5,120899,,78428,122370,,,,,144433,76945,,,29421,,,,96874,,,,154482,11732.5,,,,,,67622.5,,42449,76820.5,,,,,,87763.5,11408.5,,,38504,372138,,,,255345.5,21055,,,,160473,,,,189061,,,,,,,,20993.5,351277,,44428,,199240,,47136.5,488456,28520.5,,163091.5,,,
Inverurie,184399,,28795,,,792806.5,NA,,,,,,145362,11722,,86812.5,,,,,,10530,NA,,,448251,,,53745,9178.5,5480,,,218584,442545,,,,,,11302.5,,108778,78960.5,,,,,,315814,8360.5,,,33250,,4441,,,,415775,,,,290641,,,,,107369,,,,,,,252431,32087.5,,32306,,239685,169833,211,1043,109973,,570794,,,
Ironmill Bay,,2600,277173.5,,,147980.5,95011,61046.5,,,,,63250.5,48870.5,8982,112608.5,,,22674,37794,,28050,58452.5,,,,,,,4474,7046,,,43107,68085.5,,42402,,20971,,32813.5,,101454.5,89532,12949.5,,,,1189,65073,480.5,,,98402.5,,737,,,,15668,,,5984.5,11781.5,,,,8307,,9407.5,,,,,6896,100727.5,29643,,,,134441.5,71447,1472,4003.5,73775,,77367,,,
Jedburgh,154147.5,,,,,,27377.5,,,,,,,,,89040,,,,,,,,,,,,,11109,,,,,,,,,,,,,,269497,,,,,,,12217.5,,,,43959.5,,,,,,,,,,,,,,,22216,,,,,,,26223,,,,,21003,,,,,,,,,
Kelso,107315,0,44622.5,,,101466.5,50414,0,,,31629,,220036,12497,,15796.5,0,,,93943,,0,,,,4901,,,79364,157,0,,,44665,64736.5,,5573,,,,143,,41057.5,17405,,,,,,40533.5,552.5,,,40836,,2295.5,,,,8226.5,,,,25773,,,,,71134,161.5,,,,,,132141,2488.5,,,,60569,,0,1469.5,11992,,47740.5,,,
Kincardine,,11908,6057.5,,,,,2345,,,,,,NA,16876,,,,27167,,,17129,,,63553,,,,,16779.5,6484.5,,,,,,,,11937,,NA,,,,148242.5,,,,231346,,594,,,,,921.5,,,,,,,36793.5,41041,,,,,,4408.5,,,,,318594,,0,,,,,,454,NA,,,,,,
Kinneil,,,,,,,181882,,,,,,402984.666666667,,,168514.333333333,,,,64082,,,,,,,,,248525,,,,,,,,,,,,,,157443,,,,,,,274271.5,,,,119223,,,,,,,,,,,,,,,153534,,,,,,,255166.666666667,,,,,56923,NA,,,,,,,,
Kirkcaldy,231797.333333333,26624,243596,,,1170966,151105,55115.5,,,264382,,285955.333333333,171459.5,46997,240263.666666667,,,9037,156437.5,,48594,155592,,31453,226509,,,254860.666666667,15209,12932,,,311418.5,141464,,204393.5,,18226,291605,76697,,121465.333333333,161368,55854.5,,,,16041,250881.5,25199,,,183763,,23599,,,,100228,,,53203.5,287425,,,,70003,147506,33246,,,,,12091,335447,30309,,157089,,286789.5,,11527.5,68596,204382.5,,456212,255697,,
Kirkwall,17891.5,0,9078.5,670.333333333333,0,73920,42863,237.333333333333,230.666666666667,,20056.5,6066,4584,19553,1785,38246.5,66937.5,0,0,81113,,0,58392,,126.666666666667,17800,0,0,14609,322.666666666667,158.5,0,0,,18938,,16365,,252.666666666667,,2858.5,1558.33333333333,17320.5,18027,0,,,0,0,39331.5,0,,0,8040,0,0,0,0,20943,19860,,4418,1160,11517.5,,847,986,19067,,0,0,,,0,0,116950.5,350,,5910,517,96945.5,15416,0,3218.5,11457,0,22317,12850,0,36871
Lanark,242907,22343,27687,63779,,791669,38984,10910,,,NA,,NA,51084,NA,48636,136108,,58277,67423,,40004,42849,,38818,17298,,,103239,,2822,,,NA,,,,,64385,,41809,16013,19334,108909,3126,,,,74165,,0,,,NA,,1195,,,,NA,,,184799,11460,167773,55489,,,,5706,,,,,18103,68979,NA,,,,51584,NA,651,6425,23777,,234979,,,
Langholm,,,175574.5,,,1636393,52783,,,,412849,,9890,3155.5,,13730,NA,,,97396,,0,38535,,,4846,,,131332,,0,,,464692,27518,,,,,,0,,36766.5,114540,,,,,,38117.5,0,,,5571,,0,,,25454,36057.5,,,,28147,,,,32147,27000,,,,,,,4862.5,,,17213.5,,44742,,0,0,NA,,NA,,,
Largs,66583,28759.5,33814.5,,,102751.5,0,1809,,,80725,,55971,20690,,46799,,,23750.5,,,346,16822,,25638.5,13855,,,,22213,0,,,114929.5,27908,,,,34466.5,,11646.5,,14052,18216,992,,,,18892,47783.5,1112,,,39608,,0,,,,12640,,,6036,8355,,,,,NA,NA,,,,,,19402,906,,,,80784,70168.5,1831,0,15526.5,,36489,,,
Lerwick,NA,0,4534,642,0,13461.5,NA,0,0,,10482,,8393.5,NA,3303,1240,0,,0,45248.5,,2155.5,7880,0,NA,0,,0,NA,0,NA,0,0,41917,0,,7365,,0,,3481.5,3582,NA,15315,0,,,5219,0,86054,NA,,0,NA,0,0,0,486,3066,1180.5,,0,0,4385,6697,10257,28534,3205.5,,0,0,,,,0,15342,3348.5,,2833,0,NA,NA,0,543,20202,0,2894,2476,0,0
Lesmahagow,,0,6813,,,127113,,1175.5,,,,,76005,0,,43179,19242,,19713.5,19637,,0,197298,,501371,5670,,,,,1958,,,154126,,,,,50697,,6998,,104721,51969,3485,,,,24175,,480,,,0,,0,,,,NA,,,622995,85544,187619,23560,,,,NA,,,,,60888,188771,1315,,,,144060,126510,5829,0,47302,,508016,,,
Levenmouth,171839.666666667,18621.5,154741,56674.75,33245,,58393,14915,18589.25,,,0,230410.666666667,27306.5,55695,109219.5,,1364,11435.5,156453,99853,10352.5,102123,2281.33333333333,8027,,0,759.333333333333,89468.5,5711,2085.5,57886.5,22886.5,,,,,0,11451,364916,10691,15422,56390.25,,15594.5,,,41971.6666666667,16305,121582,5571,0,0,124136.666666667,,9344.5,67735,36313.3333333333,,,0,1616.5,14925.5,108549,NA,57069.6666666667,49358.5,,39867,21646,20919.3333333333,,,42732.25,30549,172907.75,3245.5,0,,6446.2,139285,50840,4916,8199.5,137794.5,13646.3333333333,,103552.333333333,0,376.25
Linlithgow,74105,1737.5,58203.5,64024,,412222,89473,16042,,,323506,,161438.5,22937.5,7741.5,,37191,,7720.5,221769,,1265,288059,,2708,168375,,,46876,2263,739,,,434850.5,36859.5,,238065,,649,715235,6520,21614,196731,60145.5,3860.5,13809,,,8655.5,233114.5,265.5,,,244575.5,,22833,,,,235984,,,1309.5,128414,,27134,,,,4182,12650,,,,5576.5,118290.5,1702.5,,81914,,143493,387211,434.5,28703,94085,,160930,,,
Loch Ryan,23045.5,,,,,138410.5,13984.5,,,,25195,,15001.5,2503,,NA,18224,,,9164,,0,4753,,,31416,,,39678,,,,,78660,12837,,,,,,781,,8999,24511,,,,,,91934.5,,,,2576,,,,,76294.5,,,,,38468,,,,13265,30605,,,,,,,11338,,,15310,,,,730,551.5,24446,,218866.5,,,
Lockerbie,85886,0,35228,17850.5,2979,494480,43662.5,0,1350,,84111,,58903,0,17992.5,49254.5,190775.5,151.25,1094.5,26633.5,,0,6773,0,0,2012.5,,4604.5,45967,189.5,0,20368.5,109707.5,276876,113863,,100939,,0,267439,339,3127.5,3927,,514,,,5219.75,1521.5,43542,0,,0,12476.5,,0,222.5,1836.5,237934.5,27591.5,,0,0,98097.5,,7468,3595,69836.5,115649,0,2173,,,3249,1047.5,116706.5,0,,55010,253.75,NA,NA,0,532,34714,707,203033.5,71892.6666666667,,0
Lossiemouth,NA,9939,6192,,,135212,71411,9680.33333333333,,,69181,,NA,3880.5,,NA,83684.6666666667,,2801,151905,,1677,70381.5,,4128,108357,,,26509,11192.3333333333,3344,,,197271,NA,,,,4947,,2280.66666666667,,40378,90025,1284,,,,9993.5,NA,20325,,,NA,10252.3333333333,6479.66666666667,,,79799.6666666667,NA,,,15532,65948.6666666667,,,,51696,NA,6798,,,,,NA,NA,10913.3333333333,,37243.3333333333,,154436,NA,9319.66666666667,0,69689,,296251.666666667,122253.5,,
Mauldslie,,18240,20158,57581,,,,16854,,,,,75454,48573,12821,200547,,,14402,NA,,2155,,,72378,86799,,,,,8646,,,,,,,,35917,912198,96411,102175,88347,122225,7695,,,,16401,,4809,,,,,14924,,,324400,133213,,,17976,90578,,118803,,,,20132,,,,,108092,97619,13612,,,,33218,,8033,10347,188219,,940753,,,
Maybole,,0,85800,NA,,386705,185725,1033,,,108128,,,4654,,217192,,,0,246078,,0,46217,,523,5148,,,,418,0,,,564251,,,,,440,335410,28477,13034,,,25856,,,,20933,237482,0,,,137081,,409,,,,,,,0,46072,,6536,,,,0,,,,,2116,,1246,,,,177921,,0,5454,10520,,411579,,,
Meadowhead,61160,16278,54177,111004,25733.5,409239.5,46053,14960.6666666667,,,232561,0,103313.25,67107.3333333333,43537,80975.25,206032.333333333,888,21285,43287.6666666667,136934,35870.6666666667,79188.5,32713,41711,92510.5,,0,65357.75,9636,17788.3333333333,24106,77373,604668.5,87744,,207469.333333333,0,20661.3333333333,181318,25732.3333333333,38837.6666666667,69127.25,79885,15477.6666666667,,,28078,107134.333333333,121259.75,5178,,3172,71640.75,7998,22005.3333333333,40572.5,,255974,58836,,,18664,74668.5,374463,75375,9637,65825,42428,24833.3333333333,36411,,,67947,46507.3333333333,71686,7326.5,,59366,5899.5,101948,105075,10707.5,78546.3333333333,100342,24566,738926,116331.666666667,,0
Meadowhead - Kilmarnock HMP,10812,,239835,,,297567,1694,,,,NA,,7535,687,,124275,2291.5,,,,,4887,122035,,,NA,,,1757,,3429.5,,,,450393,,5151107,,,,7275,,52050.5,48499.5,,,,,,146353,,,,11707.5,,11396.4,,,14879,13966,,,,49762,,,,,NA,,,,,,,9003.5,6228.5,,5118,,0,22774,,1926,75862.5,,95199,67180,,
Montrose,58214,,,,,,29710,,,,,,22190.5,,,71590,,,,,,,,,,,,,37538,,,,,,,,,,,124611,,,107960.5,,,,,,,249927,,,,31676,,,,,,,,,,,,,,,28718,,,,,,,264169,,,,,44742,100618,,,,,,,,
Muirkirk,,13998,,,,,,0,,,,,,,,,,,3071,,,,,,2423.5,,,,,92630,,,,,,,,,7551,,,,,,0,,,,29818.5,,488,,,,,,,,,,,,2898.5,,,,,,,8693,,,,,,,,,,,,,316.5,,,,,,,
Nairn,51063,6607,87833,14404,2390,51333,,798,0,,,,31833,51612,NA,75567,,0,NA,85085,,0,59509,8924,5226,20942,,0,,0,NA,907,835,119155,98417,,16606,,437,,1608,5079,NA,,4870,,,,115707,,0,,0,NA,,402,0,0,204045,45240,,0,2871,205558,,32871,6535,56094.5,,1176,0,,,4410,1697,36775,685,0,18659,0,,119229,0,9999,10311,33918,83704,197413,,0
Neilston,50332,755,16814.5,,,209332,27802,0,,,,,,15809.5,,22692,,,42831,,,4585,96823,,2555,11312,,,6972,1758.5,2654,,,191262,53943,,123312,,3412,,6812.5,,90299.5,84256,2441.5,,,,,63996.5,416,,,NA,,4497.5,,,,65947,,,1835,268356,,,,,16882,2229,,,,,,85538.5,0,,,,182374.5,,565,6264,114729,,603724,,,
Newbridge,157063,,,,,,153023,,,,,,261806.5,,,130133.333333333,,,,45555,,,,,,,,,,,,,,,,,,,,NA,,,98289.3333333333,,,,,,,218339,,,,118374.666666667,,,,,,,,,,,,,,,,,,,,,,87145,,,,,73943,99098,,,,,,,,
Newburgh,26856,75.5,38383,,,105282,223137,5630,,,49166,,78647.5,28362.5,3500,22506,14581,,6923.5,227820,,1595,76814.5,,1992.5,74020,,,107589,0,0,,,122725,199214,,302367,,4584,,1443.5,,30649,,768,,,,0,85846,114.5,,,90933,,0,,,66043,41769,,,17600,22083,,,,,161797,754.5,,,,,731,669079.5,115,,,,147125,31475,162,220,,,157075,,,
New Cumnock,,0,145337,205163,,347746,25373,0,,,,,19273,9565,,,,,6608,,,1624,132253,,10246,,,,23666,,4061,,,296846,7031,,NA,,28861,,22739,17094,74673,55360,5450,,,,25722,,3577,,,62919,,56283,,,,37705,,,33908,151587,,9265,,,,4210,,,,,482346,53581,19173,,,,403745,,,18370,85509,,85136,,,
Newport & Tayport,,0,77043.5,,,1681048,55625,196,,,92798.5,,161006.5,68473,2522,6931.5,29280,,24067,,,9759,40532.5,,3059.5,157049,,,,0,0,,,166184,203415,,242750,,3857,,22865.5,,52832,28150,1619,,,,918,137656,0,,,16563,,1449.5,,,,26659,,,12365.5,155651,,,,23651,,6246,,,,,3013,46423,139.5,,,,87847,237783,0,25749,21799,,433855,,,
Newtown St Boswell,113631,0,6954.5,,,29672,37982,0,,,,,4724.5,402,,NA,19250,,11448,10325,,10669,36108.5,,0,61759,,,7836,0,1274,,,69919.5,46918,,431808,,3492,,2591,,86121,106555,0,,,,1773,257333.5,0,,,14934.5,,3690,,,75880,162724,,,6561,34885.5,,,,4726,,0,,,,,,408359,218,,0,,101567,,0,1263,427615,,58960,,,
Nigg,258210.25,10844.3333333333,269398,126058,10626,1032472,263102,7303.66666666667,34455,,134959.5,14608.5,174896,121654.5,36578.5,152470.25,121439.5,2528.25,10076.3333333333,172920,171256,13565,85230,6627,11800.5,77740,,419,129973,17717.5,6133.33333333333,33705,,44003.5,109236.25,,232247,759,6402,354486,26676.5,79810.5,82840.5,105001.5,15169.3333333333,,0,11391.3333333333,17299.6666666667,269472,4053,0,1646.66666666667,77817.3333333333,3573,1632.5,16258,11976,271819.5,85264,0,2389.75,11118.5,390433,755786,88603,13326,87917.5,147813.25,14763.6666666667,28570,,,6842,23778.3333333333,278749,5483,0,54649,3648.5,306389.5,154976.666666667,2961.5,24950,142493,9306.75,450243,121471,0,8938
Nigg - Aberdeen RI,,,,,,,,,,,,,,,,,,,,,,,,,,3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Nigg - Torry,,11887.5,,,,,,2039,,,,,,,,,,,,,,,,,,,,,,25056,0,,,,,,,,,,,,,,35124.75,,,,,,1011,,,,4700.5,0,,,,,,,,,,,,,,2132,,,,,,,0,,,,,,0,,,,,,,
Oban,30152,,,,,,34709,,,,,,,,,,,,,9001,,,,,,,,,11642,,,,,,,,,,,,,,,,,,,,,,,,,22122.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paisley,63848.25,3679,82772,,,517483,74941.25,3652,,,179108,,189719.5,34501,,81587,282408,,59585.5,33669.5,,37866,194404,,40383.5,60053.5,,,53225.75,10464,20738,,,238883,37588,,57305,,40102,352615,26198,,39033.75,111073,25817,,,,,84970.6666666667,9755,,,61776,,2213.5,,,,38185,,,24964,177563,469200,,,98567,87097.5,36387,,,,,,158333.333333333,4107,,6887,,106937.25,87706,5112.5,23996.5,215196,,849689.5,112137.5,,
Paisley - Airport,,20787.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,9390,,,,,,,,,,,,,,,,,,,,,316,,,,,51539,,,,,,,,,,,,,,,,,,,,,908,,,,,,1176,,,,,,,
Paisley - Blackhall,59652.5,25259.25,279163,,,333293,,,,,NA,,131195.5,1069635,,155404,142054.5,,,,,45619.5,131070,,,89740,,,,10300,163942,,,339762,5457,,,,,,80287,,101499.5,37391.5,,,,,,296669,305.5,,,,,39020.5,,,223024,24877,,,,106280.5,,,,66035,,,,,,,,81543,2249.5,,13224.5,,56340,,5055.5,38513,196506,,628750,,,
Paisley - Brediland,23455,1886.8,19145,,,2380,,,,,830,,1138.5,54166,,27382.5,0,,,,,451,10008,,,107762,,,,258.5,7612.5,,,15914,729.5,,,,,,243.5,,0,4745.5,,,,,,14856.5,0,,,12024,,277766,,,9458,0,,,,8370,,,,40506.5,,,,,,,,19024.5,596.5,,1381.5,,0,,0,12637.5,4994,,11238,,,
Peebles,44923,,8945,9128,0,28456,83538,0,4847,,1234,0,,7420,0,25382,48722,3201,322,,3456,0,,0,NA,10,,0,67412,0,0,6007,3550,,,,1787,,464,,,4058,30275,67972,0,,,1967,2821,,0,,0,22306,,637,5026,5049,32348,34595,0,0,2184,46968,,20568,2374,98077,46297,0,2234,,,69418,0,102401,0,,15065,7537,42658,,3279,622,14299,2820,72992,53516.5,,0
Penicuik,142384,0,263935,,,NA,84586,4615,,,NA,,243452,112360,,104546,,,5891,,,30379,469573,,185357,,,,,18341,90792,,,423665,227946,,268702,,20328,,50799,,61952,105297,44102,,,,,161565,27256,,,,,196734,,,541256,78643,,,1973,367658,,,,,,14165,,,,,,193434,8965,,,,230185,,1202,102458,,,684361,224338,,
Persley,364291,,,,,,610173,,,,,,119445,,,284457.5,,,,144655,,,,,,,,,,,,,,,,,,,,,,,363878,,,,,,,344301,,,,87794,,,,,,,,,,,,,,,,,,,,,,265738,,,,,,191887,,,,,,,,
Persley - Northfield,,11251.5,,,,,,98.5,,,,,,,,,,,,,,,,,,,,,,10957.5,0,,,,,,,,,,,,,,41492.3333333333,,,,,,1637,,,,372083,1250.5,,,,,,,,,,,,,,3247.5,,,,,,,721,,,,,,5137,,,,,,,
Perth,92126.3333333333,4455.5,65651,,,281156,158858,3882,,,166185.5,,121053.5,46431.5,,222481.666666667,170479,,12604.5,172317.5,,32989,131329,,23845.5,101485,,,57533,6836.5,11609.5,,,347741.5,199957.5,,519797,,6915.5,40483,52920.5,,69675.6666666667,58019.5,14274.5,,,,,165739.5,3920,,,97332.6666666667,,1281.5,,,,128447.5,,,27747.5,39541.5,146215,,,,62773,8498,,,,,,204169,5524,,,,328296,168187,9254,40225.5,63810.5,,385506,104946,,
Peterhead,96145.5,326.666666666667,9139.5,,,68603,74451,1002.66666666667,,,27397,,69042,4409.5,6188,16367,55751,,993.333333333333,,,1757,9080,,3937.66666666667,36424,,,51374,372,1098,,,155660,106390,,104801,,489,,419.5,,48649.5,12859.5,1298.66666666667,,,,3803.66666666667,34969,10367.5,,,41341,0,639.5,,,19149,23101,,,3013.33333333333,8271,345195,,,5426.5,253207,518.333333333333,,,,,71968,49665.5,664,,36189,,,53696,1018,483,2742,,95609,58082.5,,
Philipshill,195950.333333333,11646,186421,81968,42714,553786,145862,18068,21854.5,,598237,,278825,48232,147037,123248.666666667,145814,19346,24356,180872,119652,46633,149783,98134,21906,147280,,1612,124628,25106,20816,21438.5,34310,260924,87861,,91985,,23927,,24692,56755,69310.6666666667,338275,14528,,,53886,20998,138115,11385,0,7845,95878,,1595,153916.666666667,153337,892467,91182,,670,11823,147096,NA,105054,119819,115310,135096.666666667,20563,47530,,,98972,57775,96962.5,11815,405,160684,12601,121420.5,175074,25070,39946,118874,29868,877169,173022,,0
Philipshill - Hairmyres Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Philipshill - Stewartfield (3606),,136.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Philipshill - Stewartfield (7801),,236.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4444,,,,,,,
Sanquhar,,,44717,,,546176,18526,,,,,,11759,91303,,,,,,,,1843.5,10849.5,,,60681,,,47116,,1025,,,182248,5958,,,,,,149634,,4672.5,34823,,,,,,368635,12041.5,,,,,11322.5,,,43425,9979.5,,,,181028.5,,,,,,,,,,,,15973.5,8243,,,,,,0,182288,80178.5,,994160,,,
Seafield,173123.75,7960.33333333333,408015.5,164158,40763,402868.333333333,137461.75,12664.3333333333,27505,,175045.666666667,,384442.5,80383,62618,74420.75,161808.666666667,,23148.3333333333,275491.333333333,,46131,129971.5,,151288,41514.6666666667,,9357,171114.75,8884.5,21736.6666666667,,26283,356775,132837.666666667,,181076.666666667,,27966.3333333333,530500,77748.6666666667,58557,87309.25,73713.5,16923.3333333333,,,51873,14852,204448.666666667,4411.33333333333,,2778.5,125654.75,5793,12643,57888,11841,213909.666666667,59975.3333333333,,1594,28603,145666.666666667,335513,102807,43502,81990.3333333333,146491.75,23737,23828,,,25333,26853,121271.75,8360.66666666667,,65969.3333333333,25637,227308.5,148835.5,3216,68605.6666666667,109238.5,32581,295955.5,99128,,0
Seafield - Cockenzie,99976,,1185244.5,,,NA,,,,,,,28044.5,292763,,8330,137849,,,,,528.2,512881,,,,,,94457,,,,,,NA,,44920,,,,15877,,95407,24813,,,,,,NA,,,,24577,,,,,NA,40115,,,,55788,,,,62549,,,,,,,,1150761,,,94424,,536188,,,9878.5,106149,,121966,,,
Seafield - Craigmillar,,,,,,,,,,,,,70171.5,,,248429,,,,NA,,,,,,,,,104701,,,,,,,,,,,,,,27701,,,,,,,62235,,,,41904,,,,,,,,,,,,,,,,,,,,,,29108,,,,,150989.5,,,,,,,,,
Seafield - Muirhouse,70162,,,,,,,,,,,,52657,,,265478,,,,104078,,,,,,,,,,,,,,,,,,,,,,,5443,,,,,,,473818,,,,81047,,,,,,,,,,,,,,,,,,,,,,182575,,,,,300188,,,,,,,,,
Seafield - Restalrig,83183,,,,,,,,,,,,458335,,,188034,,,,1448156,,,,,,,,,274750,,,,,,,,,,,,,,209135,,,,,,,188498,,,,NA,,,,,,,,,,,,,,,NA,,,,,,,100241,,,,,243617,,,,,,,,,
Seafield - Tranent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
Seafield - Western General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,89872,,NA,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,
Selkirk,,1172.5,48792.5,,,123687,39468.5,883.5,,,,,,,,97776.5,,,,,,0,,,,12065,,,,0,0,,,13500,56824.5,,38785,,,,,,5693,0,,,,,,68583,0,,,8305,,452,,,,95269.5,,,,15905,,,,,,0,,,,,,64969,2568,,,,60977,,0,,20722,,74537.5,,,
Shieldhall,77277.5,18428.75,139365.5,121552.75,23210.5,500617.5,74219.5,14323.25,48916.4,207,288141.5,1463.25,136395.5,72382.5,53915.3333333333,85502.5,316145.5,10151.75,27772.5,48995,89685,81407,152704,19613,40931.3333333333,81291,538,12183.25,96144.75,16119,50553.5,21237.6666666667,70790,283209,51034,237.8,141559,0,57308.3333333333,379046,27952,53587.6666666667,72123.5,91846.5,36695.25,30184,,54728.6666666667,44380.6666666667,122435.666666667,12155,1462,8324.5,64978.25,,78424.5,58414,18249.75,340234,100758.5,0,1745.25,29926.3333333333,110446,620629,92058,47161.25,73017,92032.5,30688,16515.3333333333,0,0,70466.75,84951,97104.75,44601.5,845.5,82182.5,31926,48666.6666666667,151520,19573,NA,106523.5,49617,531415,124687.333333333,1162,1547.25
Shieldhall - Barrhead,126901,3323,231946.5,,,227920,,12891.6666666667,,,85436,,355247,136352.5,,982444,121498.5,,,,,22543.5,219429,,,NA,,,,7614,32991,,,564946,143518,,151368,,,,2735,,209947,65296,,,,,,332755.5,17027,,,246063,,4310,,,420980.5,NA,,,,45383,,,,47439,,,,,,,,163093,6014.5,,519126,,147461,,,29829,239743,,509969.5,,,
